time_id,r_bist,r_garan,r_ereg,r_ansgr,r_toaso,r_vestl,r_usd
108,4.8665,4.6263,7.0922,2.6667,5.3763,4.4118,-1.7952
109,-1.3564,-4.4218,-4.6358,1.2987,-2.0408,-1.4085,0.7998
110,2.9987,3.2028,2.7778,0.0000,2.0833,5.2381,-0.6234
111,-2.2480,-3.9655,-0.6757,1.2821,-6.7347,0.0000,0.4847
112,1.9500,3.7702,3.4014,0.0000,5.0328,-0.4525,0.0284
113,-2.6632,-3.8062,-3.9474,-5.0633,-3.1250,-3.6364,1.1915
114,5.1550,6.1151,1.3699,1.3333,0.8602,1.4151,0.7850
115,-1.4741,-1.6949,-2.0270,9.2105,-4.9041,3.7209,0.0556
116,1.6373,4.1379,-9.6552,2.4096,7.3991,0.0000,-0.9452
117,-2.3765,-2.6490,0.0000,-1.1765,3.1315,1.7937,0.6175
118,-0.5857,0.8503,-2.2901,-4.7619,-1.8219,-3.9648,0.0558
119,-0.7588,-1.1804,-2.3438,0.0000,1.4433,0.0000,-0.3345
120,0.7880,-3.0717,3.2000,0.0000,5.8943,0.4587,-1.7343
121,-2.6090,-4.5775,-1.5504,-3.7500,-2.8791,-2.2831,-0.0569
122,-0.2424,-0.9225,-5.5118,2.5974,-2.3715,-3.7383,1.5380
123,-3.2899,-3.1657,-4.1667,-7.5949,-5.0607,0.4854,2.6367
124,-3.7337,-3.6538,-1.7391,-4.1096,-10.6610,-5.3140,0.7106
125,1.3837,4.9900,7.0796,-1.4286,0.0000,-1.5306,0.8141
126,3.1163,7.6046,1.6529,1.4493,5.2506,3.6269,-1.6151
127,2.0380,-0.3534,-2.4390,5.7143,2.9478,3.5000,-0.7661
128,3.3927,4.9645,1.6667,-1.3514,10.5727,0.0000,-0.0551
129,3.4608,5.0676,-5.7377,4.1096,3.5857,0.9662,-0.3862
130,0.3791,-1.6077,1.7391,3.9474,2.8846,-1.4354,0.7200
131,-0.1886,0.1634,1.7094,1.2658,-0.3738,0.4854,-0.3849
132,-1.3884,-1.6313,-7.5630,5.0000,-6.7542,-3.8647,-0.2208
133,4.1763,3.9801,2.7273,3.5714,10.2616,2.0101,0.1660
134,1.4460,1.1164,0.0000,0.0000,1.6423,-1.4778,-1.7675
135,-0.2720,0.3155,0.8850,-4.5977,6.1041,-1.0000,0.3374
136,0.9711,4.0881,1.7544,-2.4096,-4.3993,0.5051,0.8966
137,-0.1584,0.3021,0.0000,0.0000,-4.6018,-1.5075,-0.1111
138,2.6101,3.0120,0.0000,-1.2346,9.6475,0.0000,0.8340
139,0.8448,0.7310,7.7586,1.2500,-2.8765,-3.0612,-1.1028
140,0.3583,-1.3062,3.2000,0.0000,8.5366,0.0000,-0.2230
141,-0.4239,-2.3529,2.3256,0.0000,1.1236,0.5263,0.1676
142,-2.2017,-1.0542,-4.5455,-1.2346,-3.1746,-4.1885,0.0558
143,1.4865,4.8706,-0.7937,-1.2500,-5.2459,-0.5464,0.0000
144,3.2938,5.5152,1.6000,1.2658,4.4983,-0.5495,0.6691
145,1.6822,0.8253,-3.9370,-1.2500,5.4636,1.1050,-0.6092
146,-0.0927,-1.7735,-0.8197,1.2658,-1.2559,-1.0929,0.6687
147,1.0101,2.2222,3.3058,-1.2500,3.4976,-4.4199,-0.9410
148,0.5568,0.6793,0.0000,-5.0633,4.6083,2.3121,-0.0559
149,-1.4338,-2.8340,0.0000,-1.3333,0.1468,0.5650,0.7269
150,0.3020,0.8333,-1.6000,0.0000,5.4252,0.0000,-0.4996
151,2.8931,2.3416,4.8780,5.4054,1.8081,0.5618,-0.4463
152,4.3577,4.9798,5.4264,2.5641,0.9563,2.7933,0.2802
153,0.0668,2.0513,2.9412,-1.2500,-3.6536,1.6304,-0.5309
154,0.5133,-0.2513,-0.7143,8.8608,-5.1966,-0.5348,0.8708
155,2.4703,3.7783,1.4388,19.7674,5.0370,2.1505,-0.5013
156,1.2533,0.6068,2.8369,-1.9417,-1.9746,2.1053,-0.0840
157,1.8470,-1.6888,0.6897,9.9010,3.8849,7.2165,-0.7283
158,4.9009,6.0123,3.4247,-1.8018,1.8006,-0.9615,-0.7054
159,-0.2938,-2.1991,-1.3245,-0.9174,4.2177,1.4563,0.3694
160,-5.3488,-5.7988,-4.6980,-2.7778,-7.0496,-9.0909,-0.9343
161,-1.9168,-4.2714,-2.1127,-2.8571,-2.3876,-0.5263,1.0860
162,-0.7658,-0.6562,-3.5971,-0.9804,2.4460,-0.5291,-0.0565
163,-2.7954,-5.0198,-7.4627,1.9802,3.7921,-3.1915,1.7539
164,5.2291,7.9277,6.4516,-0.9709,1.7591,3.2967,0.1112
165,4.6002,6.1856,0.0000,5.8824,6.7819,1.0638,0.0555
166,-0.5101,0.8495,-3.7879,-1.8519,1.2453,2.1053,0.2775
167,-0.7982,-3.2491,1.5748,-0.9434,-1.7220,3.0928,0.3875
168,4.1806,5.3483,3.8760,3.8095,9.6370,0.0000,-0.2206
169,-4.4561,-6.4935,-2.9851,0.9174,-5.2511,9.0000,-0.7184
170,3.0581,5.8081,2.3077,3.6364,1.8072,11.4679,-0.4453
171,-1.5318,0.0000,-2.2556,-2.6316,1.3018,-3.2922,0.5312
172,2.1935,1.4320,2.3077,0.0000,4.6729,-2.9787,-0.0834
173,4.6778,7.7647,0.0000,4.5045,1.2277,1.3158,-0.1670
174,0.5334,1.3100,0.7519,-0.8621,3.6384,2.1645,0.5018
175,2.6303,5.8190,5.2239,0.8696,8.0851,14.8305,2.1637
176,-0.9883,-0.9165,-0.7092,0.8621,3.6417,-2.5830,0.2715
177,-5.5224,-11.4080,5.0000,1.7094,-2.8490,-8.3333,1.5164
178,-8.9050,-9.2807,-4.0816,-5.0420,-8.5044,-6.1983,0.1600
179,2.1428,0.6394,1.4184,3.5398,0.7479,2.2026,-1.2250
180,-8.6355,-9.6569,-6.9930,-5.9829,-3.0753,-9.9138,4.5834
181,4.3675,5.2039,-1.5038,-1.8182,-3.9387,11.9617,-0.4640
182,-4.1716,-8.0214,-3.8168,-3.7037,4.5558,-2.9915,1.9166
183,1.1081,-4.2151,2.3810,4.8077,3.1590,-1.3216,-0.7116
184,2.6407,6.9803,0.0000,0.0000,9.6093,4.9107,-1.6381
185,-4.3743,-6.5248,-2.3256,-0.9174,-10.5010,-11.4894,0.1041
186,2.0367,3.4901,2.3810,5.5556,0.3229,0.9615,0.3639
187,-0.6591,-2.0528,6.9767,0.0000,-3.8627,-1.4286,0.0000
188,0.9934,-0.2994,3.6232,-0.8772,1.2277,-1.4493,0.3108
189,-8.5400,-10.0601,1.3986,-4.4248,-13.2304,-9.8039,2.7369
190,-2.2639,4.3406,0.0000,-3.7037,-2.2872,-12.5000,1.7090
191,1.2622,5.1200,-0.6897,2.8846,-1.4304,3.7267,1.4579
192,6.5483,1.9787,8.3333,0.9346,5.6728,8.3832,-1.1690
193,8.6939,15.8209,1.9231,2.7778,19.1011,5.5249,-2.4643
194,-3.9693,-8.6340,2.5157,1.8018,-4.1929,-0.5236,2.5265
195,1.9187,-0.5642,-0.6135,1.7699,0.0000,0.5263,-1.8975
196,-0.0402,-1.2766,0.6173,2.6087,7.5492,4.7120,-0.3517
197,0.0769,-0.1437,-0.6135,0.8475,-0.7121,0.5000,0.0756
198,3.9831,5.0360,7.4074,-1.6807,3.7910,1.4925,-0.2519
199,-3.4947,-5.6164,4.0230,-1.7094,-8.2922,0.4902,1.8434
200,-3.3763,-3.7736,0.5525,-6.0870,1.5070,-8.2927,1.4381
201,0.4802,2.4133,-1.6484,2.7778,-0.3181,-3.7234,-0.6355
202,1.8376,-0.2946,2.7933,4.5045,3.5106,0.5525,-1.1562
203,0.1457,0.0000,0.0000,2.5862,-0.8222,-0.5495,0.5724
204,-3.1286,-4.2836,-2.7174,2.5210,-1.8653,0.5525,0.1980
205,0.9356,-1.0802,1.6760,-1.6393,4.6463,0.0000,0.6915
206,-6.0651,-2.1841,-6.5934,-5.0000,4.7427,-8.2418,2.5018
207,-8.1750,-8.1340,-5.2941,0.8772,-16.4740,-16.7665,3.0629
208,3.2588,1.7361,6.8323,1.7391,2.0761,10.0719,1.1145
209,2.9484,4.0956,6.9767,6.8376,4.1808,4.5752,-0.5511
210,-3.3530,-4.7541,1.0870,-4.0000,-6.3991,-7.5000,2.4475
211,-1.8397,-2.2375,3.2258,0.0000,-10.5446,-3.3784,4.7780
212,-3.9879,-6.8662,-3.1250,0.0000,0.0000,-2.0979,-2.4091
213,4.4556,8.1285,-1.6129,2.5000,5.6995,5.0000,-2.4686
214,0.4157,-0.5245,-0.5464,1.6260,-0.8578,0.0000,-1.4915
215,-1.5371,-2.4605,-3.2967,1.6000,-3.2138,9.5238,-0.0918
216,-2.0854,-3.0631,-5.6818,-0.7874,-0.8940,-3.1056,1.2170
217,0.8675,2.2305,5.4217,0.0000,2.3196,3.2051,-0.1361
218,0.2899,3.8182,2.2857,-3.1746,-0.5038,1.2422,0.9314
219,2.0551,2.9772,-1.1173,0.0000,3.7975,1.8405,0.4051
220,7.0269,13.7755,5.6497,0.0000,6.5854,-0.6024,-1.8157
221,5.0140,4.3348,-1.0695,2.4590,12.4714,4.8485,-3.6758
222,0.2114,0.2865,4.8649,-2.4000,-4.6796,-1.7341,-0.0474
223,1.0169,0.7143,4.6392,0.8197,2.4546,2.9412,0.9723
224,-2.8408,-6.6667,-0.9852,-0.8130,-0.4167,0.5714,0.1644
225,5.2814,10.4863,0.9950,4.0984,3.5565,7.3864,-1.5944
226,0.5374,2.7510,4.4335,-2.3622,-3.8384,24.3386,-0.8578
227,-0.7327,-2.9451,1.4151,-1.6129,2.4160,-8.5106,0.6248
228,4.0679,5.7931,1.3953,0.8197,1.5385,8.3721,-0.5016
229,1.5746,0.2608,5.9633,-2.4390,0.8081,10.3004,0.5041
230,1.3971,1.4304,11.2554,2.5000,0.4008,6.6148,-0.7165
231,-1.7238,-1.5385,2.7237,3.2520,-1.8962,-4.3796,1.9870
232,-0.7732,-3.3854,3.7879,-3.1496,9.7660,1.9084,1.1180
233,0.0914,1.0782,-0.7299,0.8130,-5.3753,1.1236,-0.9564
234,-1.1948,-3.8667,11.3971,2.4194,-2.6445,21.8519,0.3062
235,2.3598,5.1318,4.9505,-0.7874,-1.5091,-5.7751,-0.5166
236,3.7172,5.6728,2.8302,0.7937,0.0000,10.9677,0.2360
237,2.3125,3.8702,5.8104,1.5748,5.1073,5.8140,-1.5540
238,-2.5221,-4.3269,-2.8902,0.0000,-1.1662,8.5165,1.7699
239,-3.5259,-5.2764,-4.4643,-4.6512,-4.1298,6.3291,1.2691
240,-3.1659,-4.6419,-7.4766,-0.8130,0.4103,-1.1905,0.6962
241,2.9175,4.8679,5.7239,3.2787,0.4086,-1.6867,0.3227
242,1.7526,1.0610,-0.6369,0.7937,3.8657,2.2059,-0.7811
243,2.3410,4.5932,3.5256,-1.5748,0.3918,5.9952,-0.0926
244,-5.3195,-8.2811,2.1672,-3.2000,-4.4878,-4.0724,2.4565
245,-1.1551,-0.1368,-3.3333,1.6529,0.8172,14.6226,1.1762
246,-2.9764,-1.5068,-0.3135,-0.8130,-5.0659,18.3128,1.1178
247,-0.3324,-2.2253,-3.1447,-0.8197,7.7908,5.2174,1.4592
248,-1.1969,-0.4267,-1.6234,-1.6529,-1.9802,18.3471,-0.5012
249,2.7747,6.1429,10.2310,1.6807,4.7475,3.7709,-1.5988
250,5.1419,4.7106,1.1976,0.8264,2.2179,0.8075,-0.5787
251,1.4638,0.3856,1.4793,0.8197,1.0377,-1.7356,-0.6940
252,-3.2538,-4.6095,-6.7055,-0.8130,2.5210,-11.1413,1.7809
253,4.1738,7.2483,2.8125,0.0000,9.1075,1.5291,-1.0188
254,2.5492,1.5019,-0.9119,0.8197,-1.5860,2.2590,-0.7384
255,3.4664,8.3847,2.7607,4.0650,2.8838,-3.6819,-0.1127
256,-1.0778,-3.6405,1.4925,-0.7813,-0.6595,7.7982,2.0311
257,-2.3622,-4.6045,-6.1765,0.0000,-3.4855,-8.3688,1.6368
258,0.4171,2.9703,2.1944,-2.3622,1.9776,-3.2508,0.7399
259,1.6438,1.0817,0.9202,0.8065,2.6138,2.4000,0.1296
260,0.6023,0.7134,-0.6079,-0.8000,1.5612,-2.0313,1.1650
261,2.5620,2.4793,7.0336,-1.6129,-1.2136,2.3923,-2.3459
262,-0.2646,2.4194,-3.1429,0.8197,-0.9828,-6.2305,1.5724
263,3.7975,7.3116,6.4897,0.8130,9.2639,-2.8239,0.6450
264,-1.9730,-2.4109,-9.6953,-0.8065,-4.9962,2.7350,3.8881
265,-4.4503,-9.6670,-4.2945,0.0000,2.1514,0.4992,1.3983
266,0.9670,-0.9512,1.6026,0.8130,1.4821,2.6490,-0.2434
267,-0.3733,-0.1200,-0.6309,-1.6129,-3.5357,12.2581,-0.0203
268,-1.5691,-2.8846,-0.6349,1.6393,0.3187,14.5115,2.0943
269,-4.5603,-6.4356,-4.4728,-1.6129,-0.5560,-5.0188,4.7003
270,-4.5673,-4.4974,-3.3445,-1.6393,-7.4281,-15.8520,0.1902
271,7.6514,12.6039,6.5744,0.8333,7.3339,2.6688,-2.2024
272,-1.9540,-5.1661,-3.5714,-1.6529,0.6431,-9.9388,1.0483
273,2.5962,2.4643,7.0707,0.8403,4.5527,-8.3192,-1.3833
274,-0.4200,-2.0253,2.2013,0.0000,4.9656,4.0741,2.1820
275,-0.2759,-0.3876,1.5385,3.3333,-6.1863,-1.4235,2.6692
276,3.8021,1.2970,2.4242,1.6129,5.3530,1.0830,1.0399
277,-1.8752,-0.3841,-1.1834,-0.7937,-1.5464,-1.4286,-1.6909
278,0.1344,0.7712,4.4910,0.8000,1.8699,-8.5145,0.4861
279,4.2172,5.3571,4.0115,0.7937,8.3700,0.7921,-4.0558
280,-2.0558,-3.6320,-1.3774,0.0000,3.0488,-3.1434,0.5430
281,-3.2898,-3.1407,-3.3520,-0.7874,-3.2216,-4.4625,2.4301
282,-1.2506,0.0000,4.3353,-0.7937,-4.1440,-6.5817,0.1883
283,-1.7218,0.0000,-4.4321,0.8000,-4.0397,0.9091,2.0673
284,2.3865,1.0376,4.9275,0.7937,6.2777,-0.9009,-0.6997
285,1.3240,1.2837,-0.8287,0.7874,0.9034,11.5909,-1.2980
286,-2.7878,-4.4360,-5.0139,-1.5625,-2.2727,2.2403,0.9017
287,1.9391,2.1220,1.1730,0.7937,10.3594,-0.3984,-0.8937
288,-0.0025,0.0000,-3.1884,-1.5748,-2.6181,-4.8000,-0.2254
289,-4.9254,-5.3247,-5.6886,3.2000,-4.0000,-6.5126,3.2386
290,1.5215,2.8807,6.9841,0.7752,1.0929,2.9213,0.8754
291,-1.8554,-3.0667,-4.4510,0.0000,2.2297,-1.3100,0.3978
292,-1.4257,-4.8143,-0.9317,1.5385,0.5288,-9.5133,1.7648
293,-4.5418,-4.4798,-3.7618,-2.2727,-6.9691,-9.5355,2.7960
294,1.1434,1.2103,2.2801,2.3256,2.0495,25.4054,0.1377
295,-2.2661,-2.6906,-2.8662,0.0000,-2.2853,-9.6983,2.8193
296,-2.1922,-4.4547,-1.9672,2.2727,-1.1339,-3.5800,1.8057
297,5.2531,2.8939,6.0201,0.0000,7.5986,0.0000,-2.1022
298,-0.6509,0.6250,-4.4164,-0.7407,-4.1306,0.7426,1.5769
299,-0.2862,0.3106,-0.6601,3.7313,-1.1119,-3.1941,-1.0900
300,6.4765,8.3591,10.2990,2.8777,3.1623,8.6294,-3.0055
301,-0.9233,-3.0000,-0.6024,0.0000,0.0000,5.1402,-0.2410
302,2.0913,3.9764,-2.4242,0.0000,1.0899,21.1111,-0.3796
303,-0.8934,-1.9830,4.0373,-2.7972,5.7951,-9.3578,0.8315
304,3.1750,5.0578,-5.6716,0.0000,-1.0191,14.1700,0.0687
305,-0.0628,1.2380,-0.9494,0.0000,4.1828,3.0142,-1.6137
306,-1.4620,-0.9511,-0.3195,4.3165,1.9765,0.8606,-1.4308
307,-6.2508,-7.8189,-3.2051,0.6897,-4.6638,-8.7031,3.2926
308,-1.8154,0.2976,-6.2914,-0.6849,3.2402,1.3084,-1.3368
309,-5.3658,-7.1217,-5.3004,0.0000,-7.6308,-9.9631,3.0224
310,3.1019,6.5495,-5.9701,-0.6897,4.3304,14.9590,-1.8547
311,2.3864,0.4498,3.1746,0.0000,3.9591,-2.8520,0.1031
312,-3.3193,-2.8358,-5.3846,0.0000,-5.0983,-6.2385,0.0343
313,-1.5528,-1.5361,-1.6260,-2.0833,1.7476,-0.7828,3.0880
314,0.6356,2.9641,-1.2397,0.7092,-1.7176,1.7751,1.0318
315,-1.1512,-2.2727,2.0921,-0.7042,5.3722,-2.5194,-0.7906
316,4.6085,5.2713,2.4590,3.5461,2.0885,2.5845,-1.5939
317,0.9832,-0.4418,6.0000,0.0000,-1.5644,3.1008,-1.4510
318,-4.4016,-5.4734,-6.0377,-2.0548,-5.1345,-5.0752,0.0685
319,2.9294,1.8779,4.8193,0.6993,0.1289,1.5842,1.0950
320,2.6208,3.0722,4.5977,0.6944,3.1532,0.3899,-0.2708
321,3.0190,1.9374,4.7619,4.1379,2.0586,0.7767,-1.3575
